测点编号|监测时间|应变值(με)|温度(℃)
S-SA-AL1|2017-05-17 22:05:36|-349|31
S-SA-AL1|2017-05-17 22:05:48|-181|31
S-SA-AL1|2017-05-17 22:05:59|-208|32
S-SA-AL1|2017-05-17 22:06:11|-244|34
S-SA-AL1|2017-05-17 22:06:23|-173|33
S-SA-AL1|2017-05-17 22:06:34|-204|33
S-SA-AL1|2017-05-17 22:06:46|-334|30
S-SA-AL1|2017-05-17 22:06:58|-262|32
S-SA-AL1|2017-05-17 22:07:10|-299|31
S-SA-AL1|2017-05-17 22:07:21|-223|34
S-SA-AL1|2017-05-17 22:07:33|-254|32
S-SA-AL1|2017-05-17 22:07:45|-285|30
S-SA-AL1|2017-05-17 22:07:57|-309|31
S-SA-AL1|2017-05-17 22:08:09|-340|34
S-SA-AL1|2017-05-17 22:08:20|-268|31
S-SA-AL1|2017-05-17 22:08:32|-202|30
S-SA-AL1|2017-05-17 22:08:44|-234|34
S-SA-AL1|2017-05-17 22:08:56|-163|32
S-SA-AL1|2017-05-17 22:09:07|-294|30
S-SA-AL1|2017-05-17 22:09:19|-220|33
S-SA-AL1|2017-05-17 22:09:31|-349|30
S-SA-AL1|2017-05-17 22:09:43|-277|32
S-SA-AL1|2017-05-17 22:09:54|-211|30
S-SA-AL1|2017-05-17 22:10:06|-339|32
S-SA-AL1|2017-05-17 22:10:18|-171|30
S-SA-AL1|2017-05-17 22:10:30|-197|34
S-SA-AL1|2017-05-17 22:10:41|-326|31
S-SA-AL1|2017-05-17 22:10:53|-258|30
S-SA-AL1|2017-05-17 22:11:05|-186|32
S-SA-AL1|2017-05-17 22:11:17|-211|33
S-SA-AL1|2017-05-17 22:11:29|-243|31
S-SA-AL1|2017-05-17 22:11:40|-165|32
S-SA-AL1|2017-05-17 22:11:52|-196|32
S-SA-AL1|2017-05-17 22:12:04|-227|30
S-SA-AL1|2017-05-17 22:12:16|-252|31
S-SA-AL1|2017-05-17 22:12:28|-282|32
S-SA-AL1|2017-05-17 22:12:39|-209|34
S-SA-AL1|2017-05-17 22:12:51|-333|32
S-SA-AL1|2017-05-17 22:13:03|-261|34
S-SA-AL1|2017-05-17 22:13:15|-194|30
S-SA-AL1|2017-05-17 22:13:27|-219|32
S-SA-AL1|2017-05-17 22:13:38|-250|32
S-SA-AL1|2017-05-17 22:13:50|-177|32
S-SA-AL1|2017-05-17 22:14:02|-300|33
S-SA-AL1|2017-05-17 22:14:14|-227|33
S-SA-AL1|2017-05-17 22:14:26|-154|32
S-SA-AL1|2017-05-17 22:14:38|-282|32
S-SA-AL1|2017-05-17 22:14:49|-206|30
S-SA-AL1|2017-05-17 22:15:01|-340|33
S-SA-AL1|2017-05-17 22:15:13|-171|31
S-SA-AL1|2017-05-17 22:15:25|-298|31
S-SA-AL1|2017-05-17 22:15:36|-225|31
S-SA-AL1|2017-05-17 22:15:48|-250|30
S-SA-AL1|2017-05-17 22:16:00|-177|30
S-SA-AL1|2017-05-17 22:16:12|-198|32
S-SA-AL1|2017-05-17 22:16:24|-228|30
S-SA-AL1|2017-05-17 22:16:36|-253|32
S-SA-AL1|2017-05-17 22:16:47|-278|31
S-SA-AL1|2017-05-17 22:16:59|-307|34
S-SA-AL1|2017-05-17 22:17:11|-333|33
S-SA-AL1|2017-05-17 22:17:23|-169|34
S-SA-AL1|2017-05-17 22:17:35|-292|30
S-SA-AL1|2017-05-17 22:17:46|-220|32
S-SA-AL1|2017-05-17 22:17:58|-153|33
S-SA-AL1|2017-05-17 22:18:10|-277|31
S-SA-AL1|2017-05-17 22:18:22|-307|32
S-SA-AL1|2017-05-17 22:18:34|-235|31
S-SA-AL1|2017-05-17 22:18:45|-162|31
S-SA-AL1|2017-05-17 22:18:57|-290|33
S-SA-AL1|2017-05-17 22:19:09|-316|30
S-SA-AL1|2017-05-17 22:19:21|-346|30
S-SA-AL1|2017-05-17 22:19:33|-270|33
S-SA-AL1|2017-05-17 22:19:44|-302|33
S-SA-AL1|2017-05-17 22:19:56|-332|34
S-SA-AL1|2017-05-17 22:20:08|-259|33
S-SA-AL1|2017-05-17 22:20:20|-187|33
S-SA-AL1|2017-05-17 22:20:32|-314|33
S-SA-AL1|2017-05-17 22:20:43|-238|31
S-SA-AL1|2017-05-17 22:20:55|-275|30
S-SA-AL1|2017-05-17 22:21:07|-300|31
S-SA-AL1|2017-05-17 22:21:19|-228|31
S-SA-AL1|2017-05-17 22:21:31|-257|34
S-SA-AL1|2017-05-17 22:21:42|-282|31
S-SA-AL1|2017-05-17 22:21:54|-210|30
S-SA-AL1|2017-05-17 22:22:06|-339|30
S-SA-AL1|2017-05-17 22:22:18|-262|31
S-SA-AL1|2017-05-17 22:22:30|-194|34
S-SA-AL1|2017-05-17 22:22:41|-321|34
S-SA-AL1|2017-05-17 22:22:53|-346|33
S-SA-AL1|2017-05-17 22:23:05|-170|32
S-SA-AL1|2017-05-17 22:23:17|-294|30
S-SA-AL1|2017-05-17 22:23:29|-322|31
S-SA-AL1|2017-05-17 22:23:41|-250|31
S-SA-AL1|2017-05-17 22:23:52|-276|30
S-SA-AL1|2017-05-17 22:24:04|-302|31
S-SA-AL1|2017-05-17 22:24:16|-228|34
S-SA-AL1|2017-05-17 22:24:28|-162|32
S-SA-AL1|2017-05-17 22:24:40|-187|31
S-SA-AL1|2017-05-17 22:24:51|-212|33
S-SA-AL1|2017-05-17 22:25:03|-340|32
S-SA-AL1|2017-05-17 22:25:15|-164|31
S-SA-AL1|2017-05-17 22:25:27|-189|31
S-SA-AL1|2017-05-17 22:25:39|-220|33
S-SA-AL1|2017-05-17 22:25:51|-343|34
S-SA-AL1|2017-05-17 22:26:02|-172|32
S-SA-AL1|2017-05-17 22:26:14|-294|31
S-SA-AL1|2017-05-17 22:26:26|-323|34
S-SA-AL1|2017-05-17 22:26:38|-246|30
S-SA-AL1|2017-05-17 22:26:50|-175|34
S-SA-AL1|2017-05-17 22:27:02|-200|33
S-SA-AL1|2017-05-17 22:27:13|-327|33
S-SA-AL1|2017-05-17 22:27:25|-254|33
S-SA-AL1|2017-05-17 22:27:37|-279|32
S-SA-AL1|2017-05-17 22:27:49|-303|31
S-SA-AL1|2017-05-17 22:28:01|-334|31
S-SA-AL1|2017-05-17 22:28:12|-159|33
S-SA-AL1|2017-05-17 22:28:24|-188|31
S-SA-AL1|2017-05-17 22:28:36|-208|31
S-SA-AL1|2017-05-17 22:28:48|-237|34
S-SA-AL1|2017-05-17 22:29:00|-261|31
S-SA-AL1|2017-05-17 22:29:12|-287|32
S-SA-AL1|2017-05-17 22:29:24|-208|31
S-SA-AL1|2017-05-17 22:29:36|-233|30
S-SA-AL1|2017-05-17 22:29:47|-159|32
S-SA-AL1|2017-05-17 22:29:59|-190|33
S-SA-AL1|2017-05-17 22:30:11|-210|33
S-SA-AL1|2017-05-17 22:30:23|-239|31
S-SA-AL1|2017-05-17 22:30:35|-160|30
S-SA-AL1|2017-05-17 22:30:47|-184|31
S-SA-AL1|2017-05-17 22:30:59|-310|34
S-SA-AL1|2017-05-17 22:31:10|-232|32
S-SA-AL1|2017-05-17 22:31:22|-154|31
S-SA-AL1|2017-05-17 22:31:34|-182|32
S-SA-AL1|2017-05-17 22:31:46|-304|30
S-SA-AL1|2017-05-17 22:31:58|-226|34
S-SA-AL1|2017-05-17 22:32:10|-347|30
S-SA-AL1|2017-05-17 22:32:22|-171|34
S-SA-AL1|2017-05-17 22:32:34|-201|34
S-SA-AL1|2017-05-17 22:32:45|-225|31
S-SA-AL1|2017-05-17 22:32:57|-347|30
S-SA-AL1|2017-05-17 22:33:09|-268|33
S-SA-AL1|2017-05-17 22:33:21|-292|30
S-SA-AL1|2017-05-17 22:33:33|-316|32
S-SA-AL1|2017-05-17 22:33:45|-235|31
S-SA-AL1|2017-05-17 22:33:57|-161|31
S-SA-AL1|2017-05-17 22:34:09|-278|31
S-SA-AL1|2017-05-17 22:34:21|-302|32
S-SA-AL1|2017-05-17 22:34:33|-229|32
S-SA-AL1|2017-05-17 22:34:44|-154|32
S-SA-AL1|2017-05-17 22:34:56|-277|33
S-SA-AL1|2017-05-17 22:35:08|-204|33
S-SA-AL1|2017-05-17 22:35:20|-223|31
S-SA-AL1|2017-05-17 22:35:32|-154|32
S-SA-AL1|2017-05-17 22:35:44|-174|32
S-SA-AL1|2017-05-17 22:35:56|-301|30
S-SA-AL1|2017-05-17 22:36:07|-332|33
S-SA-AL1|2017-05-17 22:36:19|-151|30
S-SA-AL1|2017-05-17 22:36:31|-272|32
S-SA-AL1|2017-05-17 22:36:43|-198|34
S-SA-AL1|2017-05-17 22:36:55|-217|32
S-SA-AL1|2017-05-17 22:37:07|-343|34
S-SA-AL1|2017-05-17 22:37:19|-173|33
S-SA-AL1|2017-05-17 22:37:31|-193|33
S-SA-AL1|2017-05-17 22:37:42|-222|31
S-SA-AL1|2017-05-17 22:37:54|-246|30
S-SA-AL1|2017-05-17 22:38:06|-168|33
S-SA-AL1|2017-05-17 22:38:18|-290|32
S-SA-AL1|2017-05-17 22:38:30|-223|33
S-SA-AL1|2017-05-17 22:38:42|-242|31
S-SA-AL1|2017-05-17 22:38:54|-168|33
S-SA-AL1|2017-05-17 22:39:06|-187|31
S-SA-AL1|2017-05-17 22:39:18|-318|33
S-SA-AL1|2017-05-17 22:39:29|-332|34
S-SA-AL1|2017-05-17 22:39:41|-263|33
S-SA-AL1|2017-05-17 22:39:53|-184|34
S-SA-AL1|2017-05-17 22:40:05|-306|33
S-SA-AL1|2017-05-17 22:40:17|-232|30
S-SA-AL1|2017-05-17 22:40:29|-256|32
S-SA-AL1|2017-05-17 22:40:41|-275|30
S-SA-AL1|2017-05-17 22:40:53|-203|32
S-SA-AL1|2017-05-17 22:41:04|-325|30
S-SA-AL1|2017-05-17 22:41:16|-349|32
S-SA-AL1|2017-05-17 22:41:28|-270|33
S-SA-AL1|2017-05-17 22:41:40|-194|31
S-SA-AL1|2017-05-17 22:41:52|-212|32
S-SA-AL1|2017-05-17 22:42:04|-242|32
S-SA-AL1|2017-05-17 22:42:16|-260|33
S-SA-AL1|2017-05-17 22:42:28|-284|30
S-SA-AL1|2017-05-17 22:42:40|-304|30
S-SA-AL1|2017-05-17 22:42:52|-327|32
S-SA-AL1|2017-05-17 22:43:04|-252|30
S-SA-AL1|2017-05-17 22:43:15|-276|34
S-SA-AL1|2017-05-17 22:43:27|-295|31
S-SA-AL1|2017-05-17 22:43:39|-221|32
S-SA-AL1|2017-05-17 22:43:51|-244|34
S-SA-AL1|2017-05-17 22:44:03|-269|33
S-SA-AL1|2017-05-17 22:44:15|-185|30
S-SA-AL1|2017-05-17 22:44:27|-310|30
S-SA-AL1|2017-05-17 22:44:39|-227|32
S-SA-AL1|2017-05-17 22:44:51|-347|33
S-SA-AL1|2017-05-17 22:45:03|-170|33
S-SA-AL1|2017-05-17 22:45:15|-291|34
S-SA-AL1|2017-05-17 22:45:27|-216|34
S-SA-AL1|2017-05-17 22:45:39|-332|32
S-SA-AL1|2017-05-17 22:45:51|-155|31
S-SA-AL1|2017-05-17 22:46:02|-177|31
S-SA-AL1|2017-05-17 22:46:14|-298|32
S-SA-AL1|2017-05-17 22:46:26|-321|31
S-SA-AL1|2017-05-17 22:46:38|-242|33
S-SA-AL1|2017-05-17 22:46:50|-261|30
S-SA-AL1|2017-05-17 22:47:02|-186|31
S-SA-AL1|2017-05-17 22:47:14|-205|34
S-SA-AL1|2017-05-17 22:47:26|-327|32
S-SA-AL1|2017-05-17 22:47:38|-252|32
S-SA-AL1|2017-05-17 22:47:50|-176|30
S-SA-AL1|2017-05-17 22:48:02|-301|30
S-SA-AL1|2017-05-17 22:48:14|-222|32
S-SA-AL1|2017-05-17 22:48:25|-240|32
S-SA-AL1|2017-05-17 22:48:37|-161|33
S-SA-AL1|2017-05-17 22:48:49|-282|30
S-SA-AL1|2017-05-17 22:49:01|-207|30
S-SA-AL1|2017-05-17 22:49:13|-328|31
S-SA-AL1|2017-05-17 22:49:25|-151|33
S-SA-AL1|2017-05-17 22:49:37|-272|34
S-SA-AL1|2017-05-17 22:49:49|-193|30
S-SA-AL1|2017-05-17 22:50:01|-217|32
S-SA-AL1|2017-05-17 22:50:13|-240|34
S-SA-AL1|2017-05-17 22:50:25|-259|32
S-SA-AL1|2017-05-17 22:50:37|-179|31
S-SA-AL1|2017-05-17 22:50:49|-197|31
S-SA-AL1|2017-05-17 22:51:01|-316|33
S-SA-AL1|2017-05-17 22:51:13|-241|33
S-SA-AL1|2017-05-17 22:51:25|-162|34
S-SA-AL1|2017-05-17 22:51:36|-283|30
S-SA-AL1|2017-05-17 22:51:48|-199|33
S-SA-AL1|2017-05-17 22:52:00|-319|31
S-SA-AL1|2017-05-17 22:52:12|-243|34
S-SA-AL1|2017-05-17 22:52:24|-261|30
S-SA-AL1|2017-05-17 22:52:36|-285|32
S-SA-AL1|2017-05-17 22:52:48|-205|33
S-SA-AL1|2017-05-17 22:53:00|-325|32
S-SA-AL1|2017-05-17 22:53:12|-241|34
S-SA-AL1|2017-05-17 22:53:24|-263|31
S-SA-AL1|2017-05-17 22:53:36|-178|31
S-SA-AL1|2017-05-17 22:53:48|-202|33
S-SA-AL1|2017-05-17 22:54:00|-224|33
S-SA-AL1|2017-05-17 22:54:12|-242|33
S-SA-AL1|2017-05-17 22:54:24|-162|32
S-SA-AL1|2017-05-17 22:54:36|-277|32
S-SA-AL1|2017-05-17 22:54:48|-196|34
S-SA-AL1|2017-05-17 22:55:00|-219|33
S-SA-AL1|2017-05-17 22:55:12|-340|34
S-SA-AL1|2017-05-17 22:55:24|-255|34
S-SA-AL1|2017-05-17 22:55:36|-175|33
S-SA-AL1|2017-05-17 22:55:48|-196|30
S-SA-AL1|2017-05-17 22:56:00|-214|31
S-SA-AL1|2017-05-17 22:56:12|-237|31
S-SA-AL1|2017-05-17 22:56:24|-260|32
S-SA-AL1|2017-05-17 22:56:35|-279|30
S-SA-AL1|2017-05-17 22:56:47|-302|30
S-SA-AL1|2017-05-17 22:56:59|-320|30
S-SA-AL1|2017-05-17 22:57:11|-339|33
S-SA-AL1|2017-05-17 22:57:23|-263|31
S-SA-AL1|2017-05-17 22:57:35|-183|30
S-SA-AL1|2017-05-17 22:57:47|-298|30
S-SA-AL1|2017-05-17 22:57:59|-315|33
S-SA-AL1|2017-05-17 22:58:11|-235|32
S-SA-AL1|2017-05-17 22:58:23|-260|31
S-SA-AL1|2017-05-17 22:58:35|-180|30
S-SA-AL1|2017-05-17 22:58:47|-202|30
S-SA-AL1|2017-05-17 22:58:59|-219|33
S-SA-AL1|2017-05-17 22:59:11|-334|33
S-SA-AL1|2017-05-17 22:59:23|-152|33
S-SA-AL1|2017-05-17 22:59:35|-277|31
S-SA-AL1|2017-05-17 22:59:47|-196|30
S-SA-AL1|2017-05-17 22:59:59|-215|33
S-SA-AL1|2017-05-17 23:00:12|-217|30
S-SA-AL1|2017-05-17 23:00:25|-275|32
S-SA-AL1|2017-05-17 23:00:36|-190|32
S-SA-AL1|2017-05-17 23:00:48|-315|32
S-SA-AL1|2017-05-17 23:01:00|-231|34
S-SA-AL1|2017-05-17 23:01:12|-151|33
S-SA-AL1|2017-05-17 23:01:24|-168|31
S-SA-AL1|2017-05-17 23:01:36|-293|34
S-SA-AL1|2017-05-17 23:01:48|-305|34
S-SA-AL1|2017-05-17 23:02:00|-328|33
S-SA-AL1|2017-05-17 23:02:12|-350|33
S-SA-AL1|2017-05-17 23:02:24|-163|32
S-SA-AL1|2017-05-17 23:02:36|-287|30
S-SA-AL1|2017-05-17 23:02:48|-304|33
S-SA-AL1|2017-05-17 23:03:00|-321|31
S-SA-AL1|2017-05-17 23:03:12|-236|31
S-SA-AL1|2017-05-17 23:03:24|-259|31
S-SA-AL1|2017-05-17 23:03:36|-178|33
S-SA-AL1|2017-05-17 23:03:48|-292|30
S-SA-AL1|2017-05-17 23:04:00|-304|34
S-SA-AL1|2017-05-17 23:04:12|-326|32
S-SA-AL1|2017-05-17 23:04:24|-343|30
S-SA-AL1|2017-05-17 23:04:36|-263|34
S-SA-AL1|2017-05-17 23:04:48|-178|34
S-SA-AL1|2017-05-17 23:05:00|-297|30
S-SA-AL1|2017-05-17 23:05:12|-318|33
S-SA-AL1|2017-05-17 23:05:24|-338|33
S-SA-AL1|2017-05-17 23:05:36|-252|30
S-SA-AL1|2017-05-17 23:05:48|-177|33
S-SA-AL1|2017-05-17 23:06:00|-193|34
S-SA-AL1|2017-05-17 23:06:12|-307|32
S-SA-AL1|2017-05-17 23:06:24|-324|30
S-SA-AL1|2017-05-17 23:06:36|-341|33
S-SA-AL1|2017-05-17 23:06:48|-260|30
S-SA-AL1|2017-05-17 23:07:00|-272|34
S-SA-AL1|2017-05-17 23:07:12|-294|32
S-SA-AL1|2017-05-17 23:07:24|-311|30
S-SA-AL1|2017-05-17 23:07:36|-327|31
S-SA-AL1|2017-05-17 23:07:49|-345|31
S-SA-AL1|2017-05-17 23:08:01|-259|34
S-SA-AL1|2017-05-17 23:08:13|-276|32
S-SA-AL1|2017-05-17 23:08:25|-199|33
S-SA-AL1|2017-05-17 23:08:37|-217|33
S-SA-AL1|2017-05-17 23:08:48|-333|33
S-SA-AL1|2017-05-17 23:09:01|-154|31
S-SA-AL1|2017-05-17 23:09:13|-263|32
S-SA-AL1|2017-05-17 23:09:25|-279|33
S-SA-AL1|2017-05-17 23:09:37|-299|33
S-SA-AL1|2017-05-17 23:09:49|-214|30
S-SA-AL1|2017-05-17 23:10:01|-332|32
S-SA-AL1|2017-05-17 23:10:13|-350|33
S-SA-AL1|2017-05-17 23:10:25|-269|34
S-SA-AL1|2017-05-17 23:10:37|-183|32
S-SA-AL1|2017-05-17 23:10:49|-195|34
S-SA-AL1|2017-05-17 23:11:01|-217|31
S-SA-AL1|2017-05-17 23:11:13|-234|34
S-SA-AL1|2017-05-17 23:11:25|-348|32
S-SA-AL1|2017-05-17 23:11:37|-268|31
S-SA-AL1|2017-05-17 23:11:49|-279|33
S-SA-AL1|2017-05-17 23:12:01|-300|33
S-SA-AL1|2017-05-17 23:12:13|-214|30
S-SA-AL1|2017-05-17 23:12:25|-328|33
S-SA-AL1|2017-05-17 23:12:37|-344|34
S-SA-AL1|2017-05-17 23:12:49|-263|31
S-SA-AL1|2017-05-17 23:13:01|-274|33
S-SA-AL1|2017-05-17 23:13:13|-192|32
S-SA-AL1|2017-05-17 23:13:25|-306|30
S-SA-AL1|2017-05-17 23:13:38|-219|30
S-SA-AL1|2017-05-17 23:13:50|-334|32
S-SA-AL1|2017-05-17 23:14:02|-251|32
S-SA-AL1|2017-05-17 23:14:14|-266|31
S-SA-AL1|2017-05-17 23:14:26|-176|34
S-SA-AL1|2017-05-17 23:14:38|-295|31
S-SA-AL1|2017-05-17 23:14:50|-311|32
S-SA-AL1|2017-05-17 23:15:02|-328|30
S-SA-AL1|2017-05-17 23:15:14|-344|31
S-SA-AL1|2017-05-17 23:15:26|-155|33
S-SA-AL1|2017-05-17 23:15:38|-273|32
S-SA-AL1|2017-05-17 23:15:50|-285|34
S-SA-AL1|2017-05-17 23:16:02|-210|34
S-SA-AL1|2017-05-17 23:16:14|-324|32
S-SA-AL1|2017-05-17 23:16:26|-237|32
S-SA-AL1|2017-05-17 23:16:38|-155|32
S-SA-AL1|2017-05-17 23:16:50|-167|34
S-SA-AL1|2017-05-17 23:17:02|-182|32
S-SA-AL1|2017-05-17 23:17:14|-297|32
S-SA-AL1|2017-05-17 23:17:27|-313|33
S-SA-AL1|2017-05-17 23:17:39|-328|32
S-SA-AL1|2017-05-17 23:17:51|-344|33
S-SA-AL1|2017-05-17 23:18:03|-253|34
S-SA-AL1|2017-05-17 23:18:15|-272|32
S-SA-AL1|2017-05-17 23:18:27|-284|34
S-SA-AL1|2017-05-17 23:18:39|-295|31
S-SA-AL1|2017-05-17 23:18:51|-213|30
S-SA-AL1|2017-05-17 23:19:03|-224|32
S-SA-AL1|2017-05-17 23:19:15|-244|30
S-SA-AL1|2017-05-17 23:19:27|-254|30
S-SA-AL1|2017-05-17 23:19:40|-167|30
S-SA-AL1|2017-05-17 23:19:52|-179|32
S-SA-AL1|2017-05-17 23:20:04|-292|32
S-SA-AL1|2017-05-17 23:20:16|-313|32
S-SA-AL1|2017-05-17 23:20:28|-221|33
S-SA-AL1|2017-05-17 23:20:40|-339|33
S-SA-AL1|2017-05-17 23:20:52|-155|34
S-SA-AL1|2017-05-17 23:21:04|-268|34
S-SA-AL1|2017-05-17 23:21:16|-182|34
S-SA-AL1|2017-05-17 23:21:28|-295|30
S-SA-AL1|2017-05-17 23:21:40|-207|33
S-SA-AL1|2017-05-17 23:21:52|-326|34
S-SA-AL1|2017-05-17 23:22:04|-338|34
S-SA-AL1|2017-05-17 23:22:17|-153|32
S-SA-AL1|2017-05-17 23:22:29|-165|34
S-SA-AL1|2017-05-17 23:22:41|-180|33
S-SA-AL1|2017-05-17 23:22:53|-297|32
S-SA-AL1|2017-05-17 23:23:05|-213|32
S-SA-AL1|2017-05-17 23:23:17|-327|30
S-SA-AL1|2017-05-17 23:23:29|-343|31
S-SA-AL1|2017-05-17 23:23:41|-256|31
S-SA-AL1|2017-05-17 23:23:53|-169|31
S-SA-AL1|2017-05-17 23:24:05|-282|30
S-SA-AL1|2017-05-17 23:24:17|-299|33
S-SA-AL1|2017-05-17 23:24:29|-212|33
S-SA-AL1|2017-05-17 23:24:41|-325|33
S-SA-AL1|2017-05-17 23:24:54|-340|32
S-SA-AL1|2017-05-17 23:25:06|-155|31
S-SA-AL1|2017-05-17 23:25:18|-164|33
S-SA-AL1|2017-05-17 23:25:30|-180|32
S-SA-AL1|2017-05-17 23:25:42|-190|32
S-SA-AL1|2017-05-17 23:25:54|-200|31
S-SA-AL1|2017-05-17 23:26:06|-313|34
S-SA-AL1|2017-05-17 23:26:18|-328|33
S-SA-AL1|2017-05-17 23:26:31|-234|30
S-SA-AL1|2017-05-17 23:26:43|-348|32
S-SA-AL1|2017-05-17 23:26:55|-261|30
S-SA-AL1|2017-05-17 23:27:07|-173|33
S-SA-AL1|2017-05-17 23:27:19|-184|30
S-SA-AL1|2017-05-17 23:27:31|-204|33
S-SA-AL1|2017-05-17 23:27:43|-314|32
S-SA-AL1|2017-05-17 23:27:55|-330|33
S-SA-AL1|2017-05-17 23:28:07|-243|33
S-SA-AL1|2017-05-17 23:28:19|-258|32
S-SA-AL1|2017-05-17 23:28:31|-273|30
S-SA-AL1|2017-05-17 23:28:43|-181|32
S-SA-AL1|2017-05-17 23:28:56|-202|32
S-SA-AL1|2017-05-17 23:29:08|-285|34
S-SA-AL1|2017-05-17 23:29:21|-295|33
S-SA-AL1|2017-05-17 23:29:33|-203|32
S-SA-AL1|2017-05-17 23:29:45|-320|34
S-SA-AL1|2017-05-17 23:29:57|-229|31
S-SA-AL1|2017-05-17 23:30:09|-249|31
S-SA-AL1|2017-05-17 23:30:21|-260|30
S-SA-AL1|2017-05-17 23:30:33|-270|30
S-SA-AL1|2017-05-17 23:30:45|-187|32
S-SA-AL1|2017-05-17 23:30:57|-197|32
S-SA-AL1|2017-05-17 23:31:09|-212|30
S-SA-AL1|2017-05-17 23:31:22|-223|30
S-SA-AL1|2017-05-17 23:31:34|-331|31
S-SA-AL1|2017-05-17 23:31:46|-244|34
S-SA-AL1|2017-05-17 23:31:58|-259|33
S-SA-AL1|2017-05-17 23:32:10|-269|33
S-SA-AL1|2017-05-17 23:32:22|-284|32
S-SA-AL1|2017-05-17 23:32:34|-196|30
S-SA-AL1|2017-05-17 23:32:47|-303|31
S-SA-AL1|2017-05-17 23:32:59|-313|31
S-SA-AL1|2017-05-17 23:33:11|-225|34
S-SA-AL1|2017-05-17 23:33:23|-241|30
S-SA-AL1|2017-05-17 23:33:35|-263|32
S-SA-AL1|2017-05-17 23:33:47|-171|31
S-SA-AL1|2017-05-17 23:33:59|-283|34
S-SA-AL1|2017-05-17 23:34:11|-292|32
S-SA-AL1|2017-05-17 23:34:23|-303|31
S-SA-AL1|2017-05-17 23:34:35|-215|34
S-SA-AL1|2017-05-17 23:34:48|-329|32
S-SA-AL1|2017-05-17 23:35:00|-241|30
S-SA-AL1|2017-05-17 23:35:12|-255|32
S-SA-AL1|2017-05-17 23:35:24|-267|34
S-SA-AL1|2017-05-17 23:35:36|-184|31
S-SA-AL1|2017-05-17 23:35:48|-194|30
S-SA-AL1|2017-05-17 23:36:00|-210|31
S-SA-AL1|2017-05-17 23:36:12|-322|34
S-SA-AL1|2017-05-17 23:36:25|-235|32
S-SA-AL1|2017-05-17 23:36:37|-342|31
S-SA-AL1|2017-05-17 23:36:49|-250|30
S-SA-AL1|2017-05-17 23:37:01|-162|33
S-SA-AL1|2017-05-17 23:37:13|-172|31
S-SA-AL1|2017-05-17 23:37:25|-287|31
S-SA-AL1|2017-05-17 23:37:37|-195|30
S-SA-AL1|2017-05-17 23:37:50|-205|34
S-SA-AL1|2017-05-17 23:38:02|-317|30
S-SA-AL1|2017-05-17 23:38:14|-229|33
S-SA-AL1|2017-05-17 23:38:26|-238|30
S-SA-AL1|2017-05-17 23:38:38|-346|30
S-SA-AL1|2017-05-17 23:38:50|-155|32
S-SA-AL1|2017-05-17 23:39:03|-267|33
S-SA-AL1|2017-05-17 23:39:15|-281|34
S-SA-AL1|2017-05-17 23:39:27|-195|32
S-SA-AL1|2017-05-17 23:39:39|-307|30
S-SA-AL1|2017-05-17 23:39:51|-214|31
S-SA-AL1|2017-05-17 23:40:03|-224|31
S-SA-AL1|2017-05-17 23:40:15|-336|34
S-SA-AL1|2017-05-17 23:40:27|-346|32
S-SA-AL1|2017-05-17 23:40:40|-263|34
S-SA-AL1|2017-05-17 23:40:52|-267|32
S-SA-AL1|2017-05-17 23:41:04|-281|33
S-SA-AL1|2017-05-17 23:41:16|-189|32
S-SA-AL1|2017-05-17 23:41:28|-307|32
S-SA-AL1|2017-05-17 23:41:40|-312|30
S-SA-AL1|2017-05-17 23:41:53|-317|33
S-SA-AL1|2017-05-17 23:42:05|-329|30
S-SA-AL1|2017-05-17 23:42:17|-242|31
S-SA-AL1|2017-05-17 23:42:29|-257|34
S-SA-AL1|2017-05-17 23:42:41|-168|30
S-SA-AL1|2017-05-17 23:42:53|-270|33
S-SA-AL1|2017-05-17 23:43:06|-181|34
S-SA-AL1|2017-05-17 23:43:18|-292|32
S-SA-AL1|2017-05-17 23:43:30|-297|33
S-SA-AL1|2017-05-17 23:43:42|-214|30
S-SA-AL1|2017-05-17 23:43:54|-224|32
S-SA-AL1|2017-05-17 23:44:06|-338|30
S-SA-AL1|2017-05-17 23:44:19|-245|32
S-SA-AL1|2017-05-17 23:44:31|-156|32
S-SA-AL1|2017-05-17 23:44:43|-170|34
S-SA-AL1|2017-05-17 23:44:55|-276|31
S-SA-AL1|2017-05-17 23:45:07|-189|34
S-SA-AL1|2017-05-17 23:45:19|-303|31
S-SA-AL1|2017-05-17 23:45:32|-311|31
S-SA-AL1|2017-05-17 23:45:44|-217|31
S-SA-AL1|2017-05-17 23:45:56|-325|30
S-SA-AL1|2017-05-17 23:46:08|-334|32
S-SA-AL1|2017-05-17 23:46:20|-348|34
S-SA-AL1|2017-05-17 23:46:32|-160|31
S-SA-AL1|2017-05-17 23:46:44|-271|31
S-SA-AL1|2017-05-17 23:46:57|-182|32
S-SA-AL1|2017-05-17 23:47:09|-191|34
S-SA-AL1|2017-05-17 23:47:21|-195|31
S-SA-AL1|2017-05-17 23:47:33|-205|33
S-SA-AL1|2017-05-17 23:47:45|-321|30
S-SA-AL1|2017-05-17 23:47:58|-325|31
S-SA-AL1|2017-05-17 23:48:10|-232|33
S-SA-AL1|2017-05-17 23:48:22|-240|33
S-SA-AL1|2017-05-17 23:48:34|-249|33
